trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide1.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio1.wav,57.052511100017,56.984438460506496,1,[4.162787300010677],[4.162794300005771],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UH55MW,train_x,blue_star,bottom_left,2024-12-16_17h32.21.613,HideSeek_v1,2022.2.5,59.980554288900876,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide2.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio2.wav,61.311364600027446,61.3047897000215,2,"[4.162787300010677, 18.273090600036085]","[4.162794300005771, 18.27309700002661]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UH55MW,train_x,blue_star,bottom_left,2024-12-16_17h32.21.613,HideSeek_v1,2022.2.5,59.980554288900876,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide3.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio3.wav,79.73023690003902,79.71984464004636,3,"[4.162787300010677, 18.273090600036085, 16.985286599956453]","[4.162794300005771, 18.27309700002661, 16.985293599951547]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UH55MW,train_x,blue_star,bottom_left,2024-12-16_17h32.21.613,HideSeek_v1,2022.2.5,59.980554288900876,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide4.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio4.wav,96.92637330002617,96.91782798004569,4,"[4.162787300010677, 18.273090600036085, 16.985286599956453, 19.705787499959115]","[4.162794300005771, 18.27309700002661, 16.985293599951547, 19.705794199951924]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UH55MW,train_x,blue_star,bottom_left,2024-12-16_17h32.21.613,HideSeek_v1,2022.2.5,59.980554288900876,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide5.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio5.wav,116.76626660005422,116.76733434007038,5,"[4.162787300010677, 18.273090600036085, 16.985286599956453, 19.705787499959115, 4.836871500010602]","[4.162794300005771, 18.27309700002661, 16.985293599951547, 19.705794199951924, 4.836878500005696]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UH55MW,train_x,blue_star,bottom_left,2024-12-16_17h32.21.613,HideSeek_v1,2022.2.5,59.980554288900876,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide6.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio6.wav,121.80510710005183,121.80538998006377,6,"[4.162787300010677, 18.273090600036085, 16.985286599956453, 19.705787499959115, 4.836871500010602, 5.002451199979987]","[4.162794300005771, 18.27309700002661, 16.985293599951547, 19.705794199951924, 4.836878500005696, 5.002457999973558]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UH55MW,train_x,blue_star,bottom_left,2024-12-16_17h32.21.613,HideSeek_v1,2022.2.5,59.980554288900876,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide7.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio7.wav,126.9832542000222,126.97582326004049,7,"[4.162787300010677, 18.273090600036085, 16.985286599956453, 19.705787499959115, 4.836871500010602, 5.002451199979987, 5.545152299979236]","[4.162794300005771, 18.27309700002661, 16.985293599951547, 19.705794199951924, 4.836878500005696, 5.002457999973558, 5.545158999972045]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UH55MW,train_x,blue_star,bottom_left,2024-12-16_17h32.21.613,HideSeek_v1,2022.2.5,59.980554288900876,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide8.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio8.wav,132.65805970004294,132.6472729800502,8,"[4.162787300010677, 18.273090600036085, 16.985286599956453, 19.705787499959115, 4.836871500010602, 5.002451199979987, 5.545152299979236, 11.763967800012324]","[4.162794300005771, 18.27309700002661, 16.985293599951547, 19.705794199951924, 4.836878500005696, 5.002457999973558, 0.00021159998141229153, 11.76397430000361]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UH55MW,train_x,blue_star,bottom_left,2024-12-16_17h32.21.613,HideSeek_v1,2022.2.5,59.980554288900876,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide9.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio9.wav,144.6259441000293,144.62386568004732,9,"[4.162787300010677, 18.273090600036085, 16.985286599956453, 19.705787499959115, 4.836871500010602, 5.002451199979987, 5.545152299979236, 11.763967800012324, 6.134689400030766]","[4.162794300005771, 18.27309700002661, 16.985293599951547, 19.705794199951924, 4.836878500005696, 5.002457999973558, 0.00021159998141229153, 11.76397430000361, 6.134696200024337]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UH55MW,train_x,blue_star,bottom_left,2024-12-16_17h32.21.613,HideSeek_v1,2022.2.5,59.980554288900876,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide10.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio10.wav,150.86525030003395,150.86257952005838,10,"[4.162787300010677, 18.273090600036085, 16.985286599956453, 19.705787499959115, 4.836871500010602, 5.002451199979987, 5.545152299979236, 11.763967800012324, 6.134689400030766, 7.451260000001639]","[4.162794300005771, 18.27309700002661, 16.985293599951547, 19.705794199951924, 4.836878500005696, 5.002457999973558, 0.00021159998141229153, 11.76397430000361, 0.030607499997131526, 7.451267399999779]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UH55MW,train_x,blue_star,bottom_left,2024-12-16_17h32.21.613,HideSeek_v1,2022.2.5,59.980554288900876,
,,,,,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide11.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio11.wav,158.45317980000982,158.45160164001865,11,"[4.162787300010677, 18.273090600036085, 16.985286599956453, 19.705787499959115, 4.836871500010602, 5.002451199979987, 5.545152299979236, 11.763967800012324, 6.134689400030766, 7.451260000001639, 10.355142300017178]","[4.162794300005771, 18.27309700002661, 16.985293599951547, 19.705794199951924, 4.836878500005696, 5.002457999973558, 0.00021159998141229153, 11.76397430000361, 0.030607499997131526, 7.451267399999779, 10.355148700007703]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UH55MW,train_x,blue_star,bottom_left,2024-12-16_17h32.21.613,HideSeek_v1,2022.2.5,59.980554288900876,
