trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide1.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio1.wav,128.15397870028391,128.09617830254138,1,[3.955815200228244],[3.955825800076127],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UJD902,train_x,red_square,bottom_left,2025-04-15_10h09.10.890,HideSeek_v1,2022.2.5,59.949486666433344,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide2.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio2.wav,132.1285671000369,132.1306178001687,2,"[3.955815200228244, 17.914684900082648]","[0.0002687000669538975, 17.914691800251603]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UJD902,train_x,red_square,bottom_left,2025-04-15_10h09.10.890,HideSeek_v1,2022.2.5,59.949486666433344,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide3.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio3.wav,150.111505900044,150.1120335003361,3,"[3.955815200228244, 17.914684900082648, 16.861677799839526]","[0.0002687000669538975, 0.031568399630486965, 16.861683999653906]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UJD902,train_x,red_square,bottom_left,2025-04-15_10h09.10.890,HideSeek_v1,2022.2.5,59.949486666433344,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide4.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio4.wav,167.05332990037277,167.0425205002539,4,"[3.955815200228244, 17.914684900082648, 16.861677799839526, 19.553011199925095]","[0.0002687000669538975, 0.031568399630486965, 0.05399330006912351, 19.55301810009405]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UJD902,train_x,red_square,bottom_left,2025-04-15_10h09.10.890,HideSeek_v1,2022.2.5,59.949486666433344,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide5.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio5.wav,186.67607220029458,186.67569060018286,5,"[3.955815200228244, 17.914684900082648, 16.861677799839526, 19.553011199925095, 4.801267900038511]","[0.0002687000669538975, 0.031568399630486965, 0.05399330006912351, 0.11381680006161332, 4.801274699624628]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UJD902,train_x,red_square,bottom_left,2025-04-15_10h09.10.890,HideSeek_v1,2022.2.5,59.949486666433344,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide6.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio6.wav,191.53023910010234,191.52959462031723,6,"[3.955815200228244, 17.914684900082648, 16.861677799839526, 19.553011199925095, 4.801267900038511, 4.8675996996462345]","[0.0002687000669538975, 0.031568399630486965, 0.05399330006912351, 0.11381680006161332, 0.09694409975782037, 4.867606400046498]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UJD902,train_x,red_square,bottom_left,2025-04-15_10h09.10.890,HideSeek_v1,2022.2.5,59.949486666433344,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide7.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio7.wav,196.44941710028797,196.45031972005964,7,"[3.955815200228244, 17.914684900082648, 16.861677799839526, 19.553011199925095, 4.801267900038511, 4.8675996996462345, 5.553153499960899]","[0.0002687000669538975, 0.031568399630486965, 0.05399330006912351, 0.11381680006161332, 0.09694409975782037, 0.08159129973500967, 5.5531611000187695]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UJD902,train_x,red_square,bottom_left,2025-04-15_10h09.10.890,HideSeek_v1,2022.2.5,59.949486666433344,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide8.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio8.wav,202.07259960006922,202.0716773001477,8,"[3.955815200228244, 17.914684900082648, 16.861677799839526, 19.553011199925095, 4.801267900038511, 4.8675996996462345, 5.553153499960899, 11.739498700015247]","[0.0002687000669538975, 0.031568399630486965, 0.05399330006912351, 0.11381680006161332, 0.09694409975782037, 0.08159129973500967, 0.06313030002638698, 11.739504899829626]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UJD902,train_x,red_square,bottom_left,2025-04-15_10h09.10.890,HideSeek_v1,2022.2.5,59.949486666433344,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide9.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio9.wav,213.88287049997598,213.8815503004007,9,"[3.955815200228244, 17.914684900082648, 16.861677799839526, 19.553011199925095, 4.801267900038511, 4.8675996996462345, 5.553153499960899, 11.739498700015247, 5.96768660005182]","[0.0002687000669538975, 0.031568399630486965, 0.05399330006912351, 0.11381680006161332, 0.09694409975782037, 0.08159129973500967, 0.06313030002638698, 0.030863699968904257, 5.967693699989468]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UJD902,train_x,red_square,bottom_left,2025-04-15_10h09.10.890,HideSeek_v1,2022.2.5,59.949486666433344,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide10.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio10.wav,219.906872600317,219.90313532026485,10,"[3.955815200228244, 17.914684900082648, 16.861677799839526, 19.553011199925095, 4.801267900038511, 4.8675996996462345, 5.553153499960899, 11.739498700015247, 5.96768660005182, 7.000173100270331]","[0.0002687000669538975, 0.031568399630486965, 0.05399330006912351, 0.11381680006161332, 0.09694409975782037, 0.08159129973500967, 0.06313030002638698, 0.030863699968904257, 0.07931390032172203, 7.000179800204933]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UJD902,train_x,red_square,bottom_left,2025-04-15_10h09.10.890,HideSeek_v1,2022.2.5,59.949486666433344,
