trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Slide1.png,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Audio1.wav,1823.5356068999972,1823.4845312298044,1,[6.225441599963233],[6.225448499899358],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UQ11L2,train_y,blue_star,top_left,2025-08-21_14h41.09.629,HideSeek_v1,2022.2.5,59.96095340903511,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Slide2.png,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Audio2.wav,1829.7842649000231,1829.7849746498978,2,"[6.225441599963233, 19.397848800057545]","[6.225448499899358, 19.3978550999891]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UQ11L2,train_y,blue_star,top_left,2025-08-21_14h41.09.629,HideSeek_v1,2022.2.5,59.96095340903511,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Slide3.png,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Audio3.wav,1849.2520572000649,1849.2510406499496,3,"[6.225441599963233, 19.397848800057545, 16.61050729989074]","[6.225448499899358, 0.014482100028544664, 16.610513899940997]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UQ11L2,train_y,blue_star,top_left,2025-08-21_14h41.09.629,HideSeek_v1,2022.2.5,59.96095340903511,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Slide4.png,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Audio4.wav,1865.948477699887,1865.9481719800738,4,"[6.225441599963233, 19.397848800057545, 16.61050729989074, 19.764336900087073]","[6.225448499899358, 0.014482100028544664, 0.031301300041377544, 19.764344200026244]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UQ11L2,train_y,blue_star,top_left,2025-08-21_14h41.09.629,HideSeek_v1,2022.2.5,59.96095340903511,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Slide5.png,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Audio5.wav,1885.7787327000406,1885.7645384200384,5,"[6.225441599963233, 19.397848800057545, 16.61050729989074, 19.764336900087073, 4.637513000052422]","[6.225448499899358, 0.014482100028544664, 0.031301300041377544, 0.05084490007720888, 4.637519400101155]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UQ11L2,train_y,blue_star,top_left,2025-08-21_14h41.09.629,HideSeek_v1,2022.2.5,59.96095340903511,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Slide6.png,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Audio6.wav,1890.4665634999983,1890.468312819861,6,"[6.225441599963233, 19.397848800057545, 16.61050729989074, 19.764336900087073, 4.637513000052422, 5.787459300132468]","[6.225448499899358, 0.014482100028544664, 0.031301300041377544, 0.05084490007720888, 0.04959650011733174, 5.78746600006707]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UQ11L2,train_y,blue_star,top_left,2025-08-21_14h41.09.629,HideSeek_v1,2022.2.5,59.96095340903511,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Slide7.png,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Audio7.wav,1896.3041650999803,1896.3064706198872,7,"[6.225441599963233, 19.397848800057545, 16.61050729989074, 19.764336900087073, 4.637513000052422, 5.787459300132468, 6.072097399970517]","[6.225448499899358, 0.014482100028544664, 0.031301300041377544, 0.05084490007720888, 0.04959650011733174, 0.06705450010485947, 6.0721038999035954]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UQ11L2,train_y,blue_star,top_left,2025-08-21_14h41.09.629,HideSeek_v1,2022.2.5,59.96095340903511,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Slide8.png,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Audio8.wav,1902.4287205999717,1902.4284142198974,8,"[6.225441599963233, 19.397848800057545, 16.61050729989074, 19.764336900087073, 4.637513000052422, 5.787459300132468, 6.072097399970517, 12.357431800104678]","[6.225448499899358, 0.014482100028544664, 0.031301300041377544, 0.05084490007720888, 0.04959650011733174, 0.06705450010485947, 0.04716950003057718, 12.357438300037757]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UQ11L2,train_y,blue_star,top_left,2025-08-21_14h41.09.629,HideSeek_v1,2022.2.5,59.96095340903511,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Slide9.png,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Audio9.wav,1914.851912099868,1914.838662519958,9,"[6.225441599963233, 19.397848800057545, 16.61050729989074, 19.764336900087073, 4.637513000052422, 5.787459300132468, 6.072097399970517, 12.357431800104678, 6.573712000157684]","[6.225448499899358, 0.014482100028544664, 0.031301300041377544, 0.05084490007720888, 0.04959650011733174, 0.06705450010485947, 0.04716950003057718, 0.035302900010719895, 6.573718700092286]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UQ11L2,train_y,blue_star,top_left,2025-08-21_14h41.09.629,HideSeek_v1,2022.2.5,59.96095340903511,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Slide10.png,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Audio10.wav,1921.477185699856,1921.4776389199776,10,"[6.225441599963233, 19.397848800057545, 16.61050729989074, 19.764336900087073, 4.637513000052422, 5.787459300132468, 6.072097399970517, 12.357431800104678, 6.573712000157684, 7.421021800022572]","[6.225448499899358, 0.014482100028544664, 0.031301300041377544, 0.05084490007720888, 0.04959650011733174, 0.06705450010485947, 0.04716950003057718, 0.035302900010719895, 0.03144819987937808, 7.421028999844566]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UQ11L2,train_y,blue_star,top_left,2025-08-21_14h41.09.629,HideSeek_v1,2022.2.5,59.96095340903511,
