trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide1.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio1.wav,1855.7262234999798,1855.6774994519074,1,[20.628143900074065],[20.628151400014758],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VDKA3U,train_x,red_square,top_left,2025-02-21_16h08.47.385,HideSeek_v1,2022.2.5,59.970266752709875,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide2.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio2.wav,1876.3844002000988,1876.3747336498927,2,"[20.628143900074065, 17.936171399895102]","[0.05468539986759424, 17.936179200187325]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VDKA3U,train_x,red_square,top_left,2025-02-21_16h08.47.385,HideSeek_v1,2022.2.5,59.970266752709875,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide3.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio3.wav,1894.3965054000728,1894.38943975023,3,"[20.628143900074065, 17.936171399895102, 17.13764030020684]","[0.05468539986759424, 0.014073600061237812, 17.13764710025862]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VDKA3U,train_x,red_square,top_left,2025-02-21_16h08.47.385,HideSeek_v1,2022.2.5,59.970266752709875,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide4.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio4.wav,1911.6109150000848,1911.6035853500944,4,"[20.628143900074065, 17.936171399895102, 17.13764030020684, 19.540501600131392]","[0.05468539986759424, 0.014073600061237812, 0.014637399930506945, 19.54050899995491]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VDKA3U,train_x,red_square,top_left,2025-02-21_16h08.47.385,HideSeek_v1,2022.2.5,59.970266752709875,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide5.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio5.wav,1931.2162294001319,1931.2033926198258,5,"[20.628143900074065, 17.936171399895102, 17.13764030020684, 19.540501600131392, 4.472597800195217]","[0.05468539986759424, 0.014073600061237812, 0.014637399930506945, 0.035313600208610296, 4.472605700138956]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VDKA3U,train_x,red_square,top_left,2025-02-21_16h08.47.385,HideSeek_v1,2022.2.5,59.970266752709875,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide6.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio6.wav,1935.7384434998967,1935.7402161202392,6,"[20.628143900074065, 17.936171399895102, 17.13764030020684, 19.540501600131392, 4.472597800195217, 5.037000900134444]","[0.05468539986759424, 0.014073600061237812, 0.014637399930506945, 0.035313600208610296, 0.0660063000395894, 5.037007700186223]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VDKA3U,train_x,red_square,top_left,2025-02-21_16h08.47.385,HideSeek_v1,2022.2.5,59.970266752709875,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide7.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio7.wav,1940.8260265002027,1940.827956220228,7,"[20.628143900074065, 17.936171399895102, 17.13764030020684, 19.540501600131392, 4.472597800195217, 5.037000900134444, 6.404657199978828]","[0.05468539986759424, 0.014073600061237812, 0.014637399930506945, 0.035313600208610296, 0.0660063000395894, 0.0995895997621119, 6.404664000030607]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VDKA3U,train_x,red_square,top_left,2025-02-21_16h08.47.385,HideSeek_v1,2022.2.5,59.970266752709875,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide8.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio8.wav,1947.2840085998178,1947.2832627199589,8,"[20.628143900074065, 17.936171399895102, 17.13764030020684, 19.540501600131392, 4.472597800195217, 5.037000900134444, 6.404657199978828, 11.673290500417352]","[0.05468539986759424, 0.014073600061237812, 0.014637399930506945, 0.035313600208610296, 0.0660063000395894, 0.0995895997621119, 0.11363440006971359, 11.673297900240868]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VDKA3U,train_x,red_square,top_left,2025-02-21_16h08.47.385,HideSeek_v1,2022.2.5,59.970266752709875,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide9.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio9.wav,1959.0269221002236,1959.0263324498665,9,"[20.628143900074065, 17.936171399895102, 17.13764030020684, 19.540501600131392, 4.472597800195217, 5.037000900134444, 6.404657199978828, 11.673290500417352, 6.051890600007027]","[0.05468539986759424, 0.014073600061237812, 0.014637399930506945, 0.035313600208610296, 0.0660063000395894, 0.0995895997621119, 0.11363440006971359, 0.013917600270360708, 6.051897699944675]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VDKA3U,train_x,red_square,top_left,2025-02-21_16h08.47.385,HideSeek_v1,2022.2.5,59.970266752709875,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide10.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio10.wav,1965.1165378000587,1965.1147591899614,10,"[20.628143900074065, 17.936171399895102, 17.13764030020684, 19.540501600131392, 4.472597800195217, 5.037000900134444, 6.404657199978828, 11.673290500417352, 6.051890600007027, 6.917913099750876]","[0.05468539986759424, 0.014073600061237812, 0.014637399930506945, 0.035313600208610296, 0.0660063000395894, 0.0995895997621119, 0.11363440006971359, 0.013917600270360708, 0.07918869983404875, 6.917919899802655]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VDKA3U,train_x,red_square,top_left,2025-02-21_16h08.47.385,HideSeek_v1,2022.2.5,59.970266752709875,
