trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide1.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio1.wav,67.35946079999849,67.31215679998422,1,[3.6159588000009535],[3.615967100002308],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VFP65Z,train_y,blue_star,bottom_left,2025-07-09_17h28.51.859,HideSeek_v1,2022.2.5,59.4681289487679,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide2.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio2.wav,70.99173919999885,70.98148404000021,2,"[3.6159588000009535, 18.102026500000648]","[0.014012900002853712, 18.102033000002848]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VFP65Z,train_y,blue_star,bottom_left,2025-07-09_17h28.51.859,HideSeek_v1,2022.2.5,59.4681289487679,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide3.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio3.wav,89.17149290000089,89.16320499999892,3,"[3.6159588000009535, 18.102026500000648, 9.43030870000075]","[0.014012900002853712, 0.013918799999373732, 9.430315999998129]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VFP65Z,train_y,blue_star,bottom_left,2025-07-09_17h28.51.859,HideSeek_v1,2022.2.5,59.4681289487679,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide4.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio4.wav,98.66297280000072,98.65442193999915,4,"[3.6159588000009535, 18.102026500000648, 9.43030870000075, 18.671388400001888]","[0.014012900002853712, 0.013918799999373732, 0.05571140000029118, 18.671395100001973]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VFP65Z,train_y,blue_star,bottom_left,2025-07-09_17h28.51.859,HideSeek_v1,2022.2.5,59.4681289487679,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide5.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio5.wav,117.39516540000113,117.3867540399995,5,"[3.6159588000009535, 18.102026500000648, 9.43030870000075, 18.671388400001888, 3.975732299997617]","[0.014012900002853712, 0.013918799999373732, 0.05571140000029118, 0.035050099999352824, 3.975739800000156]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VFP65Z,train_y,blue_star,bottom_left,2025-07-09_17h28.51.859,HideSeek_v1,2022.2.5,59.4681289487679,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide6.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio6.wav,121.41922999999952,121.40662467999901,6,"[3.6159588000009535, 18.102026500000648, 9.43030870000075, 18.671388400001888, 3.975732299997617, 4.588829699998314]","[0.014012900002853712, 0.013918799999373732, 0.05571140000029118, 0.035050099999352824, 0.051369000000704546, 4.588836299997638]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VFP65Z,train_y,blue_star,bottom_left,2025-07-09_17h28.51.859,HideSeek_v1,2022.2.5,59.4681289487679,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide7.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio7.wav,126.05674649999855,126.04405738000024,7,"[3.6159588000009535, 18.102026500000648, 9.43030870000075, 18.671388400001888, 3.975732299997617, 4.588829699998314, 5.038687399999617]","[0.014012900002853712, 0.013918799999373732, 0.05571140000029118, 0.035050099999352824, 0.051369000000704546, 0.03426679999756743, 5.038694199996826]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VFP65Z,train_y,blue_star,bottom_left,2025-07-09_17h28.51.859,HideSeek_v1,2022.2.5,59.4681289487679,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide8.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio8.wav,131.14599570000064,131.14804194000024,8,"[3.6159588000009535, 18.102026500000648, 9.43030870000075, 18.671388400001888, 3.975732299997617, 4.588829699998314, 5.038687399999617, 10.942310700000235]","[0.014012900002853712, 0.013918799999373732, 0.05571140000029118, 0.035050099999352824, 0.051369000000704546, 0.03426679999756743, 0.04981410000254982, 10.94231740000032]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VFP65Z,train_y,blue_star,bottom_left,2025-07-09_17h28.51.859,HideSeek_v1,2022.2.5,59.4681289487679,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide9.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio9.wav,142.1569524000006,142.15716409999914,9,"[3.6159588000009535, 18.102026500000648, 9.43030870000075, 18.671388400001888, 3.975732299997617, 4.588829699998314, 5.038687399999617, 10.942310700000235, 5.185527300000103]","[0.014012900002853712, 0.013918799999373732, 0.05571140000029118, 0.035050099999352824, 0.051369000000704546, 0.03426679999756743, 0.04981410000254982, 0.03155490000062855, 5.1855337000015425]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VFP65Z,train_y,blue_star,bottom_left,2025-07-09_17h28.51.859,HideSeek_v1,2022.2.5,59.4681289487679,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide10.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio10.wav,147.3769562999987,147.37843218000089,10,"[3.6159588000009535, 18.102026500000648, 9.43030870000075, 18.671388400001888, 3.975732299997617, 4.588829699998314, 5.038687399999617, 10.942310700000235, 5.185527300000103, 6.387746899999911]","[0.014012900002853712, 0.013918799999373732, 0.05571140000029118, 0.035050099999352824, 0.051369000000704546, 0.03426679999756743, 0.04981410000254982, 0.03155490000062855, 0.04883490000065649, 6.3877542999980506]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VFP65Z,train_y,blue_star,bottom_left,2025-07-09_17h28.51.859,HideSeek_v1,2022.2.5,59.4681289487679,
