trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,wLy_dir,wLx_dir,x_movePos,y_movePos,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide1.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio1.wav,948.1841059997678,948.1362193871289,1,[2.9817749997600913],[2.981787099968642],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VGD5VN,train_y,red_square,bottom_left,2025-04-25_16h01.59.854,HideSeek_v1,2022.2.5,60.01093406147043,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide2.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio2.wav,951.1866183001548,951.1872318000533,2,"[2.9817749997600913, 18.79787339968607]","[2.981787099968642, 18.79788149986416]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VGD5VN,train_y,red_square,bottom_left,2025-04-25_16h01.59.854,HideSeek_v1,2022.2.5,60.01093406147043,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide3.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio3.wav,970.0636200001463,970.0531786000356,3,"[2.9817749997600913, 18.79787339968607, 16.517787999939173]","[2.981787099968642, 18.79788149986416, 16.517795599997044]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VGD5VN,train_y,red_square,bottom_left,2025-04-25_16h01.59.854,HideSeek_v1,2022.2.5,60.01093406147043,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide4.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio4.wav,986.6585971000604,986.6506329001859,4,"[2.9817749997600913, 18.79787339968607, 16.517787999939173, 19.322048400063068]","[2.981787099968642, 18.79788149986416, 0.03562380000948906, 19.322055799886584]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VGD5VN,train_y,red_square,bottom_left,2025-04-25_16h01.59.854,HideSeek_v1,2022.2.5,60.01093406147043,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide5.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio5.wav,1006.0474835000932,1006.0498263002373,5,"[2.9817749997600913, 18.79787339968607, 16.517787999939173, 19.322048400063068, 4.320396399591118]","[2.981787099968642, 18.79788149986416, 0.03562380000948906, 0.014146899804472923, 4.320404300000519]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VGD5VN,train_y,red_square,bottom_left,2025-04-25_16h01.59.854,HideSeek_v1,2022.2.5,60.01093406147043,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide6.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio6.wav,1010.4192300997674,1010.4202720601112,6,"[2.9817749997600913, 18.79787339968607, 16.517787999939173, 19.322048400063068, 4.320396399591118, 4.919630900025368]","[2.981787099968642, 18.79788149986416, 0.03562380000948906, 0.014146899804472923, 0.04943179991096258, 4.919638500083238]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VGD5VN,train_y,red_square,bottom_left,2025-04-25_16h01.59.854,HideSeek_v1,2022.2.5,60.01093406147043,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide7.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio7.wav,1015.3898876998574,1015.3911968599074,7,"[2.9817749997600913, 18.79787339968607, 16.517787999939173, 19.322048400063068, 4.320396399591118, 4.919630900025368, 5.569856599904597]","[2.981787099968642, 18.79788149986416, 0.03562380000948906, 0.014146899804472923, 0.04943179991096258, 0.03200769983232021, 5.569864499848336]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VGD5VN,train_y,red_square,bottom_left,2025-04-25_16h01.59.854,HideSeek_v1,2022.2.5,60.01093406147043,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide8.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio8.wav,1021.0168661000207,1021.0124918598682,8,"[2.9817749997600913, 18.79787339968607, 16.517787999939173, 19.322048400063068, 4.320396399591118, 4.919630900025368, 5.569856599904597, 11.56942919967696]","[2.981787099968642, 18.79788149986416, 0.03562380000948906, 0.014146899804472923, 0.04943179991096258, 0.03200769983232021, 0.04763669986277819, 11.569437799975276]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VGD5VN,train_y,red_square,bottom_left,2025-04-25_16h01.59.854,HideSeek_v1,2022.2.5,60.01093406147043,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide9.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio9.wav,1032.657648500055,1032.6553365001455,9,"[2.9817749997600913, 18.79787339968607, 16.517787999939173, 19.322048400063068, 4.320396399591118, 4.919630900025368, 5.569856599904597, 11.56942919967696, 5.8342373999767005]","[2.981787099968642, 18.79788149986416, 0.03562380000948906, 0.014146899804472923, 0.04943179991096258, 0.03200769983232021, 0.04763669986277819, 0.04674030002206564, 5.834246100392193]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VGD5VN,train_y,red_square,bottom_left,2025-04-25_16h01.59.854,HideSeek_v1,2022.2.5,60.01093406147043,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide10.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio10.wav,1038.529714900069,1038.5269396200777,10,"[2.9817749997600913, 18.79787339968607, 16.517787999939173, 19.322048400063068, 4.320396399591118, 4.919630900025368, 5.569856599904597, 11.56942919967696, 5.8342373999767005, 6.966800400055945]","[2.981787099968642, 18.79788149986416, 0.03562380000948906, 0.014146899804472923, 0.04943179991096258, 0.03200769983232021, 0.04763669986277819, 0.04674030002206564, 0.0778095000423491, 6.966808000113815]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VGD5VN,train_y,red_square,bottom_left,2025-04-25_16h01.59.854,HideSeek_v1,2022.2.5,60.01093406147043,
