trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide1.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio1.wav,1221.0545308000874,1220.9963203255088,1,[7.02072130003944],[7.020750100025907],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W7FJ2V,train_y,blue_star,bottom_left,2025-08-28_16h30.51.234,HideSeek_v1,2022.2.5,59.95376366832856,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide2.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio2.wav,1228.093439300079,1228.0906161500607,2,"[7.02072130003944, 18.327493699966]","[0.014438699930906296, 18.327500799903646]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W7FJ2V,train_y,blue_star,bottom_left,2025-08-28_16h30.51.234,HideSeek_v1,2022.2.5,59.95376366832856,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide3.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio3.wav,1246.4905534000136,1246.4896104501095,3,"[7.02072130003944, 18.327493699966, 16.495254199951887]","[0.014438699930906296, 0.000224800081923604, 16.49526200001128]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W7FJ2V,train_y,blue_star,bottom_left,2025-08-28_16h30.51.234,HideSeek_v1,2022.2.5,59.95376366832856,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide4.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio4.wav,1263.0637264000252,1263.0534021500498,4,"[7.02072130003944, 18.327493699966, 16.495254199951887, 19.486483399989083]","[0.014438699930906296, 0.000224800081923604, 0.03719279984943569, 19.48649049992673]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W7FJ2V,train_y,blue_star,bottom_left,2025-08-28_16h30.51.234,HideSeek_v1,2022.2.5,59.95376366832856,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide5.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio5.wav,1282.6172736999579,1282.619219750166,5,"[7.02072130003944, 18.327493699966, 16.495254199951887, 19.486483399989083, 4.470663300016895]","[0.014438699930906296, 0.000224800081923604, 0.03719279984943569, 0.01484140008687973, 4.470670500071719]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W7FJ2V,train_y,blue_star,bottom_left,2025-08-28_16h30.51.234,HideSeek_v1,2022.2.5,59.95376366832856,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide6.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio6.wav,1287.13803989999,1287.1397602801678,6,"[7.02072130003944, 18.327493699966, 16.495254199951887, 19.486483399989083, 4.470663300016895, 5.504083999898285]","[0.014438699930906296, 0.000224800081923604, 0.03719279984943569, 0.01484140008687973, 0.03239629999734461, 5.504091300070286]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W7FJ2V,train_y,blue_star,bottom_left,2025-08-28_16h30.51.234,HideSeek_v1,2022.2.5,59.95376366832856,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide7.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio7.wav,1292.6939757000655,1292.6944972801955,7,"[7.02072130003944, 18.327493699966, 16.495254199951887, 19.486483399989083, 4.470663300016895, 5.504083999898285, 6.070495499996468]","[0.014438699930906296, 0.000224800081923604, 0.03719279984943569, 0.01484140008687973, 0.03239629999734461, 0.04893149994313717, 6.070502200163901]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W7FJ2V,train_y,blue_star,bottom_left,2025-08-28_16h30.51.234,HideSeek_v1,2022.2.5,59.95376366832856,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide8.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio8.wav,1298.8167344001122,1298.816335680103,8,"[7.02072130003944, 18.327493699966, 16.495254199951887, 19.486483399989083, 4.470663300016895, 5.504083999898285, 6.070495499996468, 11.97393500013277]","[0.014438699930906296, 0.000224800081923604, 0.03719279984943569, 0.01484140008687973, 0.03239629999734461, 0.04893149994313717, 0.030837099999189377, 11.973941600183025]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W7FJ2V,train_y,blue_star,bottom_left,2025-08-28_16h30.51.234,HideSeek_v1,2022.2.5,59.95376366832856,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide9.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio9.wav,1310.8582022001501,1310.859493550146,9,"[7.02072130003944, 18.327493699966, 16.495254199951887, 19.486483399989083, 4.470663300016895, 5.504083999898285, 6.070495499996468, 11.97393500013277, 6.271000399952754]","[0.014438699930906296, 0.000224800081923604, 0.03719279984943569, 0.01484140008687973, 0.03239629999734461, 0.04893149994313717, 0.030837099999189377, 11.973941600183025, 6.271007899893448]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W7FJ2V,train_y,blue_star,bottom_left,2025-08-28_16h30.51.234,HideSeek_v1,2022.2.5,59.95376366832856,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide10.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio10.wav,1317.1709966999479,1317.1647645100486,10,"[7.02072130003944, 18.327493699966, 16.495254199951887, 19.486483399989083, 4.470663300016895, 5.504083999898285, 6.070495499996468, 11.97393500013277, 6.271000399952754, 7.082823500037193]","[0.014438699930906296, 0.000224800081923604, 0.03719279984943569, 0.01484140008687973, 0.03239629999734461, 0.04893149994313717, 0.030837099999189377, 11.973941600183025, 0.03323230007663369, 7.082830799976364]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W7FJ2V,train_y,blue_star,bottom_left,2025-08-28_16h30.51.234,HideSeek_v1,2022.2.5,59.95376366832856,
