trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide1.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio1.wav,56.00905839999905,55.94868784953724,1,[7.1061202000128105],[7.106131500040647],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGC8YL,train_x,blue_star,bottom_right,2025-10-01_15h03.26.387,HideSeek_v1,2022.2.5,59.928864447394076,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide2.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio2.wav,63.13283269997919,63.133776749979006,2,"[7.1061202000128105, 18.881091699993704]","[0.00022330001229420304, 18.88109879998956]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGC8YL,train_x,blue_star,bottom_right,2025-10-01_15h03.26.387,HideSeek_v1,2022.2.5,59.928864447394076,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide3.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio3.wav,82.09890789998462,82.09954724002164,3,"[7.1061202000128105, 18.881091699993704, 16.728341899986845]","[0.00022330001229420304, 0.01425020000897348, 16.72834839997813]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGC8YL,train_x,blue_star,bottom_right,2025-10-01_15h03.26.387,HideSeek_v1,2022.2.5,59.928864447394076,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide4.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio4.wav,98.91219910001382,98.91293433996616,4,"[7.1061202000128105, 18.881091699993704, 16.728341899986845, 19.58174130000407]","[0.00022330001229420304, 0.01425020000897348, 16.72834839997813, 19.581747699994594]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGC8YL,train_x,blue_star,bottom_right,2025-10-01_15h03.26.387,HideSeek_v1,2022.2.5,59.928864447394076,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide5.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio5.wav,118.55506610003067,118.54628086001613,5,"[7.1061202000128105, 18.881091699993704, 16.728341899986845, 19.58174130000407, 5.5769153000437655]","[0.00022330001229420304, 0.01425020000897348, 16.72834839997813, 0.0002099000266753137, 5.576922200038098]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGC8YL,train_x,blue_star,bottom_right,2025-10-01_15h03.26.387,HideSeek_v1,2022.2.5,59.928864447394076,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide6.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio6.wav,124.1844222000218,124.18428055999102,6,"[7.1061202000128105, 18.881091699993704, 16.728341899986845, 19.58174130000407, 5.5769153000437655, 5.5360087000299245]","[0.00022330001229420304, 0.01425020000897348, 16.72834839997813, 0.0002099000266753137, 0.03139380004722625, 5.536016800033394]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGC8YL,train_x,blue_star,bottom_right,2025-10-01_15h03.26.387,HideSeek_v1,2022.2.5,59.928864447394076,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide7.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio7.wav,129.79266919998918,129.78876014999696,7,"[7.1061202000128105, 18.881091699993704, 16.728341899986845, 19.58174130000407, 5.5769153000437655, 5.5360087000299245, 5.9824249999946915]","[0.00022330001229420304, 0.01425020000897348, 16.72834839997813, 0.0002099000266753137, 0.03139380004722625, 0.03146000002743676, 5.9824315999867395]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGC8YL,train_x,blue_star,bottom_right,2025-10-01_15h03.26.387,HideSeek_v1,2022.2.5,59.928864447394076,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide8.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio8.wav,135.82723090000218,135.827275559993,8,"[7.1061202000128105, 18.881091699993704, 16.728341899986845, 19.58174130000407, 5.5769153000437655, 5.5360087000299245, 5.9824249999946915, 12.091149699990638]","[0.00022330001229420304, 0.01425020000897348, 16.72834839997813, 0.0002099000266753137, 0.03139380004722625, 0.03146000002743676, 0.014630199992097914, 12.091156299982686]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGC8YL,train_x,blue_star,bottom_right,2025-10-01_15h03.26.387,HideSeek_v1,2022.2.5,59.928864447394076,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide9.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio9.wav,147.98884170001838,147.98742814999423,9,"[7.1061202000128105, 18.881091699993704, 16.728341899986845, 19.58174130000407, 5.5769153000437655, 5.5360087000299245, 5.9824249999946915, 12.091149699990638, 6.2681765999877825]","[0.00022330001229420304, 0.01425020000897348, 16.72834839997813, 0.0002099000266753137, 0.03139380004722625, 0.03146000002743676, 0.014630199992097914, 0.047192800033371896, 6.268183899985161]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGC8YL,train_x,blue_star,bottom_right,2025-10-01_15h03.26.387,HideSeek_v1,2022.2.5,59.928864447394076,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide10.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio10.wav,154.31148779997602,154.3092348599923,10,"[7.1061202000128105, 18.881091699993704, 16.728341899986845, 19.58174130000407, 5.5769153000437655, 5.5360087000299245, 5.9824249999946915, 12.091149699990638, 6.2681765999877825, 7.034604299988132]","[0.00022330001229420304, 0.01425020000897348, 16.72834839997813, 0.0002099000266753137, 0.03139380004722625, 0.03146000002743676, 0.014630199992097914, 0.047192800033371896, 0.030844799999613315, 7.034610500035342]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGC8YL,train_x,blue_star,bottom_right,2025-10-01_15h03.26.387,HideSeek_v1,2022.2.5,59.928864447394076,
