trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Slide1.png,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Audio1.wav,66.97257899981923,66.92483265597839,1,[7.5528216999955475],[7.552828300045803],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WJ4H18,train_y,red_square,bottom_right,2025-07-25_17h19.17.168,HideSeek_v1,2022.2.5,60.29893804520395,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Slide2.png,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Audio2.wav,74.5454414000269,74.53218895993196,2,"[7.5528216999955475, 18.250567800132558]","[0.07503960002213717, 18.250575000187382]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WJ4H18,train_y,red_square,bottom_right,2025-07-25_17h19.17.168,HideSeek_v1,2022.2.5,60.29893804520395,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Slide3.png,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Audio3.wav,92.86616409989074,92.86484979989473,3,"[7.5528216999955475, 18.250567800132558, 17.124074100051075]","[0.07503960002213717, 0.03614090010523796, 17.124080799985677]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WJ4H18,train_y,red_square,bottom_right,2025-07-25_17h19.17.168,HideSeek_v1,2022.2.5,60.29893804520395,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Slide4.png,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Audio4.wav,110.07310919999145,110.0591426998144,4,"[7.5528216999955475, 18.250567800132558, 17.124074100051075, 19.666161500150338]","[0.07503960002213717, 0.03614090010523796, 0.03324890020303428, 19.666168700205162]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WJ4H18,train_y,red_square,bottom_right,2025-07-25_17h19.17.168,HideSeek_v1,2022.2.5,60.29893804520395,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Slide5.png,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Audio5.wav,129.8115480998531,129.8078836997738,5,"[7.5528216999955475, 18.250567800132558, 17.124074100051075, 19.666161500150338, 4.654204500140622]","[0.07503960002213717, 0.03614090010523796, 0.03324890020303428, 0.03234340017661452, 4.654211500193924]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WJ4H18,train_y,red_square,bottom_right,2025-07-25_17h19.17.168,HideSeek_v1,2022.2.5,60.29893804520395,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Slide6.png,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Audio6.wav,134.5198605998885,134.5185785599053,6,"[7.5528216999955475, 18.250567800132558, 17.124074100051075, 19.666161500150338, 4.654204500140622, 4.9209064999595284]","[0.07503960002213717, 0.03614090010523796, 0.03324890020303428, 0.03234340017661452, 0.06332299998030066, 4.920919199939817]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WJ4H18,train_y,red_square,bottom_right,2025-07-25_17h19.17.168,HideSeek_v1,2022.2.5,60.29893804520395,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Slide7.png,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Audio7.wav,139.50659819995053,139.4932029599324,7,"[7.5528216999955475, 18.250567800132558, 17.124074100051075, 19.666161500150338, 4.654204500140622, 4.9209064999595284, 6.451102499850094]","[0.07503960002213717, 0.03614090010523796, 0.03324890020303428, 0.03234340017661452, 0.06332299998030066, 0.03413399984128773, 6.451109800022095]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WJ4H18,train_y,red_square,bottom_right,2025-07-25_17h19.17.168,HideSeek_v1,2022.2.5,60.29893804520395,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Slide8.png,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Audio8.wav,146.01060219993815,146.01030795979315,8,"[7.5528216999955475, 18.250567800132558, 17.124074100051075, 19.666161500150338, 4.654204500140622, 4.9209064999595284, 6.451102499850094, 12.54540569987148]","[0.07503960002213717, 0.03614090010523796, 0.03324890020303428, 0.03234340017661452, 0.06332299998030066, 0.03413399984128773, 0.07768709980882704, 12.545411999803036]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WJ4H18,train_y,red_square,bottom_right,2025-07-25_17h19.17.168,HideSeek_v1,2022.2.5,60.29893804520395,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Slide9.png,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Audio9.wav,158.6269018999301,158.62596279976424,9,"[7.5528216999955475, 18.250567800132558, 17.124074100051075, 19.666161500150338, 4.654204500140622, 4.9209064999595284, 6.451102499850094, 12.54540569987148, 7.253063700161874]","[0.07503960002213717, 0.03614090010523796, 0.03324890020303428, 0.03234340017661452, 0.06332299998030066, 0.03413399984128773, 0.07768709980882704, 0.014345800038427114, 7.253072800114751]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WJ4H18,train_y,red_square,bottom_right,2025-07-25_17h19.17.168,HideSeek_v1,2022.2.5,60.29893804520395,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Slide10.png,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Audio10.wav,165.91846139985137,165.91538981997874,10,"[7.5528216999955475, 18.250567800132558, 17.124074100051075, 19.666161500150338, 4.654204500140622, 4.9209064999595284, 6.451102499850094, 12.54540569987148, 7.253063700161874, 8.195420500123873]","[0.07503960002213717, 0.03614090010523796, 0.03324890020303428, 0.03234340017661452, 0.06332299998030066, 0.03413399984128773, 0.07768709980882704, 0.014345800038427114, 0.0901060001924634, 8.195427700178698]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WJ4H18,train_y,red_square,bottom_right,2025-07-25_17h19.17.168,HideSeek_v1,2022.2.5,60.29893804520395,
