trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide1.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio1.wav,704.6534150000662,704.5930008382652,1,[4.5559330999385566],[4.555942600010894],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WJGE99,train_x,blue_star,bottom_left,2025-03-27_15h40.31.103,HideSeek_v1,2022.2.5,59.958257064663,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide2.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio2.wav,709.2261613000883,709.2264245000551,2,"[4.5559330999385566, 18.34616159996949]","[4.555942600010894, 18.346169400028884]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WJGE99,train_x,blue_star,bottom_left,2025-03-27_15h40.31.103,HideSeek_v1,2022.2.5,59.958257064663,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide3.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio3.wav,727.6402702000923,727.6414054000634,3,"[4.5559330999385566, 18.34616159996949, 16.696364299976267]","[4.555942600010894, 0.014382399967871606, 16.696371800033376]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WJGE99,train_x,blue_star,bottom_left,2025-03-27_15h40.31.103,HideSeek_v1,2022.2.5,59.958257064663,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide4.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio4.wav,744.4056554000126,744.4054919999908,4,"[4.5559330999385566, 18.34616159996949, 16.696364299976267, 19.380004800041206]","[4.555942600010894, 0.014382399967871606, 0.06399600009899586, 19.38001190009527]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WJGE99,train_x,blue_star,bottom_left,2025-03-27_15h40.31.103,HideSeek_v1,2022.2.5,59.958257064663,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide5.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio5.wav,763.8414222000865,763.838392379973,5,"[4.5559330999385566, 18.34616159996949, 16.696364299976267, 19.380004800041206, 4.23098889994435]","[4.555942600010894, 0.014382399967871606, 0.06399600009899586, 0.04714429995510727, 4.230996600002982]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WJGE99,train_x,blue_star,bottom_left,2025-03-27_15h40.31.103,HideSeek_v1,2022.2.5,59.958257064663,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide6.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio6.wav,768.1226994000608,768.1250552799785,6,"[4.5559330999385566, 18.34616159996949, 16.696364299976267, 19.380004800041206, 4.23098889994435, 4.469745200010948]","[4.555942600010894, 0.014382399967871606, 0.06399600009899586, 0.04714429995510727, 0.03323229996021837, 4.469752399949357]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WJGE99,train_x,blue_star,bottom_left,2025-03-27_15h40.31.103,HideSeek_v1,2022.2.5,59.958257064663,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide7.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio7.wav,772.6432740000309,772.6453055800404,7,"[4.5559330999385566, 18.34616159996949, 16.696364299976267, 19.380004800041206, 4.23098889994435, 4.469745200010948, 5.271061800071038]","[4.555942600010894, 0.014382399967871606, 0.06399600009899586, 0.04714429995510727, 0.03323229996021837, 0.0337446000194177, 5.271068900008686]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WJGE99,train_x,blue_star,bottom_left,2025-03-27_15h40.31.103,HideSeek_v1,2022.2.5,59.958257064663,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide8.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio8.wav,777.9824019999942,777.9833868999849,8,"[4.5559330999385566, 18.34616159996949, 16.696364299976267, 19.380004800041206, 4.23098889994435, 4.469745200010948, 5.271061800071038, 11.724655999918468]","[4.555942600010894, 0.014382399967871606, 0.06399600009899586, 0.04714429995510727, 0.03323229996021837, 0.0337446000194177, 5.271068900008686, 11.724662799970247]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WJGE99,train_x,blue_star,bottom_left,2025-03-27_15h40.31.103,HideSeek_v1,2022.2.5,59.958257064663,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide9.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio9.wav,789.7621930000605,789.7595580800436,9,"[4.5559330999385566, 18.34616159996949, 16.696364299976267, 19.380004800041206, 4.23098889994435, 4.469745200010948, 5.271061800071038, 11.724655999918468, 5.999847700004466]","[4.555942600010894, 0.014382399967871606, 0.06399600009899586, 0.04714429995510727, 0.03323229996021837, 0.0337446000194177, 5.271068900008686, 0.04728709999471903, 5.999855000060052]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WJGE99,train_x,blue_star,bottom_left,2025-03-27_15h40.31.103,HideSeek_v1,2022.2.5,59.958257064663,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide10.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio10.wav,795.799319999991,795.79803715999,10,"[4.5559330999385566, 18.34616159996949, 16.696364299976267, 19.380004800041206, 4.23098889994435, 4.469745200010948, 5.271061800071038, 11.724655999918468, 5.999847700004466, 6.385152700007893]","[4.555942600010894, 0.014382399967871606, 0.06399600009899586, 0.04714429995510727, 0.03323229996021837, 0.0337446000194177, 5.271068900008686, 0.04728709999471903, 0.04622300004120916, 6.385160899953917]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WJGE99,train_x,blue_star,bottom_left,2025-03-27_15h40.31.103,HideSeek_v1,2022.2.5,59.958257064663,
