trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide1.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio1.wav,1013.0023484000001,1012.9404567400043,1,[7.522023600000011],[7.522030399999949],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WK78XU,train_y,blue_star,bottom_right,2025-08-29_10h02.09.178,HideSeek_v1,2022.2.5,59.94079048715227,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide2.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio2.wav,1020.5428994000001,1020.5451761500001,2,"[7.522023600000011, 18.28192910000007]","[0.014261699999678967, 18.28193620000002]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WK78XU,train_y,blue_star,bottom_right,2025-08-29_10h02.09.178,HideSeek_v1,2022.2.5,59.94079048715227,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide3.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio3.wav,1038.9057163999998,1038.89381075,3,"[7.522023600000011, 18.28192910000007, 16.66558709999981]","[0.014261699999678967, 0.013824000000113301, 16.665593900000204]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WK78XU,train_y,blue_star,bottom_right,2025-08-29_10h02.09.178,HideSeek_v1,2022.2.5,59.94079048715227,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide4.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio4.wav,1055.6539031999998,1055.64109335,4,"[7.522023600000011, 18.28192910000007, 16.66558709999981, 20.13461750000033]","[0.014261699999678967, 0.013824000000113301, 0.0142971000000216, 20.134623700000247]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WK78XU,train_y,blue_star,bottom_right,2025-08-29_10h02.09.178,HideSeek_v1,2022.2.5,59.94079048715227,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide5.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio5.wav,1075.8531374000002,1075.84102918,5,"[7.522023600000011, 18.28192910000007, 16.66558709999981, 20.13461750000033, 4.9567543999996815]","[0.014261699999678967, 0.013824000000113301, 0.0142971000000216, 0.00021779999997306732, 4.956761599999936]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WK78XU,train_y,blue_star,bottom_right,2025-08-29_10h02.09.178,HideSeek_v1,2022.2.5,59.94079048715227,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide6.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio6.wav,1080.8645586999999,1080.8620169800001,6,"[7.522023600000011, 18.28192910000007, 16.66558709999981, 20.13461750000033, 4.9567543999996815, 5.432968600000095]","[0.014261699999678967, 0.013824000000113301, 0.0142971000000216, 0.00021779999997306732, 0.04815310000003592, 5.432975700000043]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WK78XU,train_y,blue_star,bottom_right,2025-08-29_10h02.09.178,HideSeek_v1,2022.2.5,59.94079048715227,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide7.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio7.wav,1086.3674518,1086.3666262499999,7,"[7.522023600000011, 18.28192910000007, 16.66558709999981, 20.13461750000033, 4.9567543999996815, 5.432968600000095, 6.418789400000151]","[0.014261699999678967, 0.013824000000113301, 0.0142971000000216, 0.00021779999997306732, 0.04815310000003592, 0.0002106000001731445, 6.418795999999929]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WK78XU,train_y,blue_star,bottom_right,2025-08-29_10h02.09.178,HideSeek_v1,2022.2.5,59.94079048715227,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide8.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio8.wav,1092.8398377,1092.8385759800003,8,"[7.522023600000011, 18.28192910000007, 16.66558709999981, 20.13461750000033, 4.9567543999996815, 5.432968600000095, 6.418789400000151, 11.98920360000011]","[0.014261699999678967, 0.013824000000113301, 0.0142971000000216, 0.00021779999997306732, 0.04815310000003592, 0.0002106000001731445, 0.03003579999995054, 11.989210300000195]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WK78XU,train_y,blue_star,bottom_right,2025-08-29_10h02.09.178,HideSeek_v1,2022.2.5,59.94079048715227,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide9.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio9.wav,1104.8922147,1104.8819741800003,9,"[7.522023600000011, 18.28192910000007, 16.66558709999981, 20.13461750000033, 4.9567543999996815, 5.432968600000095, 6.418789400000151, 11.98920360000011, 6.743268100000023]","[0.014261699999678967, 0.013824000000113301, 0.0142971000000216, 0.00021779999997306732, 0.04815310000003592, 0.0002106000001731445, 0.03003579999995054, 0.03378579999980502, 6.743274800000108]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WK78XU,train_y,blue_star,bottom_right,2025-08-29_10h02.09.178,HideSeek_v1,2022.2.5,59.94079048715227,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide10.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio10.wav,1111.6901138,1111.68748538,10,"[7.522023600000011, 18.28192910000007, 16.66558709999981, 20.13461750000033, 4.9567543999996815, 5.432968600000095, 6.418789400000151, 11.98920360000011, 6.743268100000023, 7.367403299999751]","[0.014261699999678967, 0.013824000000113301, 0.0142971000000216, 0.00021779999997306732, 0.04815310000003592, 0.0002106000001731445, 0.03003579999995054, 0.03378579999980502, 0.030711800000062794, 7.367412499999773]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WK78XU,train_y,blue_star,bottom_right,2025-08-29_10h02.09.178,HideSeek_v1,2022.2.5,59.94079048715227,
