trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/Train_x_first/blue_star_00/bottom_left/instructions/Slide1.png,conditions/schedules/Train_x_first/blue_star_00/bottom_left/instructions/Audio1.wav,47.72883329999999,47.67532535999959,1,[3.477441700000014],[3.477452200000016],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M9DFQn,Train_x,blue_star,bottom_left,2025-05-07_14h55.26.120,HideSeek_v1,2022.2.5,59.95164300475722,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/Train_x_first/blue_star_00/bottom_left/instructions/Slide2.png,conditions/schedules/Train_x_first/blue_star_00/bottom_left/instructions/Audio2.wav,51.22649199999998,51.22716919999999,2,"[3.477441700000014, 11.174345899999992]","[0.032131099999986645, 11.174352400000004]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M9DFQn,Train_x,blue_star,bottom_left,2025-05-07_14h55.26.120,HideSeek_v1,2022.2.5,59.95164300475722,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/Train_x_first/blue_star_00/bottom_left/instructions/Slide3.png,conditions/schedules/Train_x_first/blue_star_00/bottom_left/instructions/Audio3.wav,62.475838599999975,62.469808899999975,3,"[3.477441700000014, 11.174345899999992, 16.905463499999996]","[0.032131099999986645, 0.00022229999999012762, 16.905470399999984]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M9DFQn,Train_x,blue_star,bottom_left,2025-05-07_14h55.26.120,HideSeek_v1,2022.2.5,59.95164300475722,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/Train_x_first/blue_star_00/bottom_left/instructions/Slide4.png,conditions/schedules/Train_x_first/blue_star_00/bottom_left/instructions/Audio4.wav,79.45243929999998,79.45025519999999,4,"[3.477441700000014, 11.174345899999992, 16.905463499999996, 19.629622599999976]","[0.032131099999986645, 0.00022229999999012762, 0.047239300000001094, 19.62962859999999]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M9DFQn,Train_x,blue_star,bottom_left,2025-05-07_14h55.26.120,HideSeek_v1,2022.2.5,59.95164300475722,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/Train_x_first/blue_star_00/bottom_left/instructions/Slide5.png,conditions/schedules/Train_x_first/blue_star_00/bottom_left/instructions/Audio5.wav,99.13964429999999,99.13472413999997,5,"[3.477441700000014, 11.174345899999992, 16.905463499999996, 19.629622599999976, 4.261865]","[0.032131099999986645, 0.00022229999999012762, 0.047239300000001094, 0.0637313000000006, 4.261871900000017]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M9DFQn,Train_x,blue_star,bottom_left,2025-05-07_14h55.26.120,HideSeek_v1,2022.2.5,59.95164300475722,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/Train_x_first/blue_star_00/bottom_left/instructions/Slide6.png,conditions/schedules/Train_x_first/blue_star_00/bottom_left/instructions/Audio6.wav,103.4518914,103.45387843999998,6,"[3.477441700000014, 11.174345899999992, 16.905463499999996, 19.629622599999976, 4.261865, 4.886705199999994]","[0.032131099999986645, 0.00022229999999012762, 0.047239300000001094, 0.0637313000000006, 0.04945769999997651, 4.886710999999991]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M9DFQn,Train_x,blue_star,bottom_left,2025-05-07_14h55.26.120,HideSeek_v1,2022.2.5,59.95164300475722,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/Train_x_first/blue_star_00/bottom_left/instructions/Slide7.png,conditions/schedules/Train_x_first/blue_star_00/bottom_left/instructions/Audio7.wav,108.40356789999998,108.39136054,7,"[3.477441700000014, 11.174345899999992, 16.905463499999996, 19.629622599999976, 4.261865, 4.886705199999994, 5.74052549999999]","[0.032131099999986645, 0.00022229999999012762, 0.047239300000001094, 0.0637313000000006, 0.04945769999997651, 0.05279930000000377, 5.740532200000018]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M9DFQn,Train_x,blue_star,bottom_left,2025-05-07_14h55.26.120,HideSeek_v1,2022.2.5,59.95164300475722,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/Train_x_first/blue_star_00/bottom_left/instructions/Slide8.png,conditions/schedules/Train_x_first/blue_star_00/bottom_left/instructions/Audio8.wav,114.19754549999999,114.19592843999999,8,"[3.477441700000014, 11.174345899999992, 16.905463499999996, 19.629622599999976, 4.261865, 4.886705199999994, 5.74052549999999, 11.57216790000001]","[0.032131099999986645, 0.00022229999999012762, 0.047239300000001094, 0.0637313000000006, 0.04945769999997651, 0.05279930000000377, 0.014294099999972332, 11.572174000000018]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M9DFQn,Train_x,blue_star,bottom_left,2025-05-07_14h55.26.120,HideSeek_v1,2022.2.5,59.95164300475722,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/Train_x_first/blue_star_00/bottom_left/instructions/Slide9.png,conditions/schedules/Train_x_first/blue_star_00/bottom_left/instructions/Audio9.wav,125.83304989999999,125.82216213999999,9,"[3.477441700000014, 11.174345899999992, 16.905463499999996, 19.629622599999976, 4.261865, 4.886705199999994, 5.74052549999999, 11.57216790000001, 6.292364700000007]","[0.032131099999986645, 0.00022229999999012762, 0.047239300000001094, 0.0637313000000006, 0.04945769999997651, 0.05279930000000377, 0.014294099999972332, 0.07061630000004016, 6.292371400000036]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M9DFQn,Train_x,blue_star,bottom_left,2025-05-07_14h55.26.120,HideSeek_v1,2022.2.5,59.95164300475722,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/Train_x_first/blue_star_00/bottom_left/instructions/Slide10.png,conditions/schedules/Train_x_first/blue_star_00/bottom_left/instructions/Audio10.wav,132.1618825,132.16084328,10,"[3.477441700000014, 11.174345899999992, 16.905463499999996, 19.629622599999976, 4.261865, 4.886705199999994, 5.74052549999999, 11.57216790000001, 6.292364700000007, 7.353695200000004]","[0.032131099999986645, 0.00022229999999012762, 0.047239300000001094, 0.0637313000000006, 0.04945769999997651, 0.05279930000000377, 0.014294099999972332, 0.07061630000004016, 0.11326390000004949, 7.35370260000002]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M9DFQn,Train_x,blue_star,bottom_left,2025-05-07_14h55.26.120,HideSeek_v1,2022.2.5,59.95164300475722,
