trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,wLy_dir,wLx_dir,x_movePos,y_movePos,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide1.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio1.wav,1179.73416729999,1179.675679650798,1,[7.564605899999151],[7.564615000010235],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XVMZCK,train_x,blue_star,top_right,2025-09-27_13h05.32.559,HideSeek_v1,2022.2.5,59.95218213834401,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide2.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio2.wav,1187.3168625000108,1187.3192579500028,2,"[7.564605899999151, 18.298363899986725]","[0.014240099990274757, 18.298370400007116]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XVMZCK,train_x,blue_star,top_right,2025-09-27_13h05.32.559,HideSeek_v1,2022.2.5,59.95218213834401,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide3.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio3.wav,1205.6898729999957,1205.6841996500152,3,"[7.564605899999151, 18.298363899986725, 16.472503800003324]","[0.014240099990274757, 0.03155469999182969, 16.47251029999461]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XVMZCK,train_x,blue_star,top_right,2025-09-27_13h05.32.559,HideSeek_v1,2022.2.5,59.95218213834401,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide4.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio4.wav,1222.2444480000122,1222.231268250005,4,"[7.564605899999151, 18.298363899986725, 16.472503800003324, 19.566950299980817]","[0.014240099990274757, 0.03155469999182969, 0.013602399994852021, 19.566956999973627]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XVMZCK,train_x,blue_star,top_right,2025-09-27_13h05.32.559,HideSeek_v1,2022.2.5,59.95218213834401,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide5.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio5.wav,1241.8816674000118,1241.880914850015,5,"[7.564605899999151, 18.298363899986725, 16.472503800003324, 19.566950299980817, 4.984360500006005]","[0.014240099990274757, 0.03155469999182969, 0.013602399994852021, 0.030666800012113526, 4.9843670000263955]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XVMZCK,train_x,blue_star,top_right,2025-09-27_13h05.32.559,HideSeek_v1,2022.2.5,59.95218213834401,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide6.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio6.wav,1246.91777,1246.9185168400056,6,"[7.564605899999151, 18.298363899986725, 16.472503800003324, 19.566950299980817, 4.984360500006005, 5.41943569999421]","[0.014240099990274757, 0.03155469999182969, 0.013602399994852021, 0.030666800012113526, 0.031880499998806044, 5.41944239998702]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XVMZCK,train_x,blue_star,top_right,2025-09-27_13h05.32.559,HideSeek_v1,2022.2.5,59.95218213834401,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide7.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio7.wav,1252.3885755999945,1252.3896978400064,7,"[7.564605899999151, 18.298363899986725, 16.472503800003324, 19.566950299980817, 4.984360500006005, 5.41943569999421, 6.2376911000174005]","[0.014240099990274757, 0.03155469999182969, 0.013602399994852021, 0.030666800012113526, 0.031880499998806044, 0.04910289999679662, 6.2376977000094485]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XVMZCK,train_x,blue_star,top_right,2025-09-27_13h05.32.559,HideSeek_v1,2022.2.5,59.95218213834401,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide8.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio8.wav,1258.678705600003,1258.678312840004,8,"[7.564605899999151, 18.298363899986725, 16.472503800003324, 19.566950299980817, 4.984360500006005, 5.41943569999421, 6.2376911000174005, 11.87334020002163]","[0.014240099990274757, 0.03155469999182969, 0.013602399994852021, 0.030666800012113526, 0.031880499998806044, 0.04910289999679662, 0.030419500020798296, 11.873346000007587]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XVMZCK,train_x,blue_star,top_right,2025-09-27_13h05.32.559,HideSeek_v1,2022.2.5,59.95218213834401,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide9.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio9.wav,1270.620924399991,1270.6213799500256,9,"[7.564605899999151, 18.298363899986725, 16.472503800003324, 19.566950299980817, 4.984360500006005, 5.41943569999421, 6.2376911000174005, 11.87334020002163, 6.472116000019014]","[0.014240099990274757, 0.03155469999182969, 0.013602399994852021, 0.030666800012113526, 0.031880499998806044, 0.04910289999679662, 0.030419500020798296, 0.03274320001946762, 6.472123200015631]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XVMZCK,train_x,blue_star,top_right,2025-09-27_13h05.32.559,HideSeek_v1,2022.2.5,59.95218213834401,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide10.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio10.wav,1277.1288063999964,1277.126976130018,10,"[7.564605899999151, 18.298363899986725, 16.472503800003324, 19.566950299980817, 4.984360500006005, 5.41943569999421, 6.2376911000174005, 11.87334020002163, 6.472116000019014, 7.1013734999869484]","[0.014240099990274757, 0.03155469999182969, 0.013602399994852021, 0.030666800012113526, 0.031880499998806044, 0.04910289999679662, 0.030419500020798296, 0.03274320001946762, 0.04560280000441708, 7.101379900006577]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XVMZCK,train_x,blue_star,top_right,2025-09-27_13h05.32.559,HideSeek_v1,2022.2.5,59.95218213834401,
