trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide1.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio1.wav,604.9662647000005,604.9144217000351,1,[8.351909000000887],[8.351916899999196],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y41LPD,train_x,red_square,top_left,2025-08-29_14h52.28.731,HideSeek_v1,2022.2.5,59.81097339947374,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide2.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio2.wav,613.3418192999998,613.341883799998,2,"[8.351909000000887, 18.14672849999988]","[0.0312928000021202, 18.146735100002843]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y41LPD,train_x,red_square,top_left,2025-08-29_14h52.28.731,HideSeek_v1,2022.2.5,59.81097339947374,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide3.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio3.wav,631.5626499999998,631.5572024000012,3,"[8.351909000000887, 18.14672849999988, 16.889866800000163]","[0.0312928000021202, 0.00023430000146618113, 16.88987310000084]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y41LPD,train_x,red_square,top_left,2025-08-29_14h52.28.731,HideSeek_v1,2022.2.5,59.81097339947374,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide4.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio4.wav,648.5363313999987,648.5374503000014,4,"[8.351909000000887, 18.14672849999988, 16.889866800000163, 19.498724500001117]","[0.0312928000021202, 0.00023430000146618113, 0.032325100000889506, 19.498734100001457]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y41LPD,train_x,red_square,top_left,2025-08-29_14h52.28.731,HideSeek_v1,2022.2.5,59.81097339947374,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide5.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio5.wav,668.1017361999984,668.1041574999999,5,"[8.351909000000887, 18.14672849999988, 16.889866800000163, 19.498724500001117, 5.738076900001033]","[0.0312928000021202, 0.00023430000146618113, 0.032325100000889506, 0.033343999999488005, 5.738083600001119]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y41LPD,train_x,red_square,top_left,2025-08-29_14h52.28.731,HideSeek_v1,2022.2.5,59.81097339947374,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide6.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio6.wav,673.8968609000003,673.8921595,6,"[8.351909000000887, 18.14672849999988, 16.889866800000163, 19.498724500001117, 5.738076900001033, 5.44820719999916]","[0.0312928000021202, 0.00023430000146618113, 0.032325100000889506, 0.033343999999488005, 0.031483599999774015, 5.448213499999838]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y41LPD,train_x,red_square,top_left,2025-08-29_14h52.28.731,HideSeek_v1,2022.2.5,59.81097339947374,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide7.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio7.wav,679.4214892999989,679.4136070000004,7,"[8.351909000000887, 18.14672849999988, 16.889866800000163, 19.498724500001117, 5.738076900001033, 5.44820719999916, 6.761628100000962]","[0.0312928000021202, 0.00023430000146618113, 0.032325100000889506, 0.033343999999488005, 0.031483599999774015, 0.03584279999995488, 6.761634700000286]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y41LPD,train_x,red_square,top_left,2025-08-29_14h52.28.731,HideSeek_v1,2022.2.5,59.81097339947374,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide8.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio8.wav,686.2367761999994,686.2356603999987,8,"[8.351909000000887, 18.14672849999988, 16.889866800000163, 19.498724500001117, 5.738076900001033, 5.44820719999916, 6.761628100000962, 12.306634200002009]","[0.0312928000021202, 0.00023430000146618113, 0.032325100000889506, 0.033343999999488005, 0.031483599999774015, 0.03584279999995488, 0.0471319999996922, 12.306641099999979]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y41LPD,train_x,red_square,top_left,2025-08-29_14h52.28.731,HideSeek_v1,2022.2.5,59.81097339947374,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide9.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio9.wav,698.6134665999998,698.6125435999984,9,"[8.351909000000887, 18.14672849999988, 16.889866800000163, 19.498724500001117, 5.738076900001033, 5.44820719999916, 6.761628100000962, 12.306634200002009, 6.134902699999657]","[0.0312928000021202, 0.00023430000146618113, 0.032325100000889506, 0.033343999999488005, 0.031483599999774015, 0.03584279999995488, 0.0471319999996922, 0.04782859999977518, 6.134909100001096]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y41LPD,train_x,red_square,top_left,2025-08-29_14h52.28.731,HideSeek_v1,2022.2.5,59.81097339947374,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide10.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio10.wav,704.8009347000007,704.800980500001,10,"[8.351909000000887, 18.14672849999988, 16.889866800000163, 19.498724500001117, 5.738076900001033, 5.44820719999916, 6.761628100000962, 12.306634200002009, 6.134902699999657, 7.503956299999118]","[0.0312928000021202, 0.00023430000146618113, 0.032325100000889506, 0.033343999999488005, 0.031483599999774015, 0.03584279999995488, 0.0471319999996922, 0.04782859999977518, 0.04781540000112727, 7.5039630999999645]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y41LPD,train_x,red_square,top_left,2025-08-29_14h52.28.731,HideSeek_v1,2022.2.5,59.81097339947374,
