trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide1.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio1.wav,2011.1780660999939,2011.1263018003199,1,[7.964150600135326],[7.9641605000942945],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z7NTMK,train_y,blue_star,top_right,2025-04-04_14h27.13.572,HideSeek_v1,2022.2.5,59.93443176265626,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide2.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio2.wav,2019.1587153000291,2019.1611877500545,2,"[7.964150600135326, 18.048436200013384]","[7.9641605000942945, 18.048443800071254]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z7NTMK,train_y,blue_star,top_right,2025-04-04_14h27.13.572,HideSeek_v1,2022.2.5,59.93443176265626,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide3.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio3.wav,2037.2870934000239,2037.2762526499573,3,"[7.964150600135326, 18.048436200013384, 16.51712660002522]","[7.9641605000942945, 0.014177799923345447, 16.517133299959823]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z7NTMK,train_y,blue_star,top_right,2025-04-04_14h27.13.572,HideSeek_v1,2022.2.5,59.93443176265626,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide4.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio4.wav,2053.886249499861,2053.8734827500302,4,"[7.964150600135326, 18.048436200013384, 16.51712660002522, 18.9671269999817]","[7.9641605000942945, 0.014177799923345447, 0.00020890007726848125, 18.96713380003348]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z7NTMK,train_y,blue_star,top_right,2025-04-04_14h27.13.572,HideSeek_v1,2022.2.5,59.93443176265626,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide5.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio5.wav,2072.922372299945,2072.922633549897,5,"[7.964150600135326, 18.048436200013384, 16.51712660002522, 18.9671269999817, 4.734600200084969]","[7.9641605000942945, 0.014177799923345447, 0.00020890007726848125, 0.0636525999289006, 4.734607300022617]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z7NTMK,train_y,blue_star,top_right,2025-04-04_14h27.13.572,HideSeek_v1,2022.2.5,59.93443176265626,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide6.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio6.wav,2077.7091570999473,2077.710136799887,6,"[7.964150600135326, 18.048436200013384, 16.51712660002522, 18.9671269999817, 4.734600200084969, 4.602391900029033]","[7.9641605000942945, 0.014177799923345447, 0.00020890007726848125, 0.0636525999289006, 0.048381400061771274, 4.602398599963635]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z7NTMK,train_y,blue_star,top_right,2025-04-04_14h27.13.572,HideSeek_v1,2022.2.5,59.93443176265626,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide7.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio7.wav,2082.361393699888,2082.364093700005,7,"[7.964150600135326, 18.048436200013384, 16.51712660002522, 18.9671269999817, 4.734600200084969, 4.602391900029033, 5.821179299848154]","[7.9641605000942945, 0.014177799923345447, 0.00020890007726848125, 0.0636525999289006, 0.048381400061771274, 0.032381400000303984, 5.821186299901456]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z7NTMK,train_y,blue_star,top_right,2025-04-04_14h27.13.572,HideSeek_v1,2022.2.5,59.93443176265626,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide8.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio8.wav,2088.2371924000327,2088.2355042999147,8,"[7.964150600135326, 18.048436200013384, 16.51712660002522, 18.9671269999817, 4.734600200084969, 4.602391900029033, 5.821179299848154, 12.039101100061089]","[7.9641605000942945, 0.014177799923345447, 0.00020890007726848125, 0.0636525999289006, 0.048381400061771274, 0.032381400000303984, 0.047030000016093254, 12.039108199998736]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z7NTMK,train_y,blue_star,top_right,2025-04-04_14h27.13.572,HideSeek_v1,2022.2.5,59.93443176265626,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide9.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio9.wav,2100.3447515999433,2100.3453373499215,9,"[7.964150600135326, 18.048436200013384, 16.51712660002522, 18.9671269999817, 4.734600200084969, 4.602391900029033, 5.821179299848154, 12.039101100061089, 6.373262299923226]","[7.9641605000942945, 0.014177799923345447, 0.00020890007726848125, 0.0636525999289006, 0.048381400061771274, 0.032381400000303984, 0.047030000016093254, 0.04800270008854568, 6.373270899988711]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z7NTMK,train_y,blue_star,top_right,2025-04-04_14h27.13.572,HideSeek_v1,2022.2.5,59.93443176265626,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide10.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio10.wav,2106.7569385999814,2106.7519547500183,10,"[7.964150600135326, 18.048436200013384, 16.51712660002522, 18.9671269999817, 4.734600200084969, 4.602391900029033, 5.821179299848154, 12.039101100061089, 6.373262299923226, 6.7794445001054555]","[7.9641605000942945, 0.014177799923345447, 0.00020890007726848125, 0.0636525999289006, 0.048381400061771274, 0.032381400000303984, 0.047030000016093254, 0.04800270008854568, 0.06289519998244941, 6.779450700152665]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z7NTMK,train_y,blue_star,top_right,2025-04-04_14h27.13.572,HideSeek_v1,2022.2.5,59.93443176265626,
