trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide1.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio1.wav,1281.3445692999994,1281.295902459998,1,[4.233679999997548],[4.233686899999157],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZX8Z3G,train_x,red_square,bottom_right,2025-06-14_16h13.25.745,HideSeek_v1,2022.2.5,59.989549819851696,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide2.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio2.wav,1285.598401299998,1285.586418740001,2,"[4.233679999997548, 17.83399759999884]","[0.03579829999944195, 17.83400509999774]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZX8Z3G,train_x,red_square,bottom_right,2025-06-14_16h13.25.745,HideSeek_v1,2022.2.5,59.989549819851696,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide3.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio3.wav,1303.4986962000003,1303.501275749999,3,"[4.233679999997548, 17.83399759999884, 16.446889899998496]","[0.03579829999944195, 0.06665970000176458, 16.446897500001796]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZX8Z3G,train_x,red_square,bottom_right,2025-06-14_16h13.25.745,HideSeek_v1,2022.2.5,59.989549819851696,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide4.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio4.wav,1320.0247697999985,1320.0147297499989,4,"[4.233679999997548, 17.83399759999884, 16.446889899998496, 19.086475600000995]","[0.03579829999944195, 0.06665970000176458, 0.0545127000004868, 19.086483800001588]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZX8Z3G,train_x,red_square,bottom_right,2025-06-14_16h13.25.745,HideSeek_v1,2022.2.5,59.989549819851696,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide5.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio5.wav,1339.1769915000004,1339.16378444,5,"[4.233679999997548, 17.83399759999884, 16.446889899998496, 19.086475600000995, 4.805322799998976]","[0.03579829999944195, 0.06665970000176458, 0.0545127000004868, 0.06830840000111493, 4.805329899998469]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZX8Z3G,train_x,red_square,bottom_right,2025-06-14_16h13.25.745,HideSeek_v1,2022.2.5,59.989549819851696,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide6.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio6.wav,1344.0350074999988,1344.0345373399985,6,"[4.233679999997548, 17.83399759999884, 16.446889899998496, 19.086475600000995, 4.805322799998976, 5.184424899998703]","[0.03579829999944195, 0.06665970000176458, 0.0545127000004868, 0.06830840000111493, 0.08027059999949415, 5.184432199999719]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZX8Z3G,train_x,red_square,bottom_right,2025-06-14_16h13.25.745,HideSeek_v1,2022.2.5,59.989549819851696,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide7.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio7.wav,1349.271022099998,1349.272547639998,7,"[4.233679999997548, 17.83399759999884, 16.446889899998496, 19.086475600000995, 4.805322799998976, 5.184424899998703, 5.603338699998858]","[0.03579829999944195, 0.06665970000176458, 0.0545127000004868, 0.06830840000111493, 0.08027059999949415, 0.21549949999825913, 5.603346200001397]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZX8Z3G,train_x,red_square,bottom_right,2025-06-14_16h13.25.745,HideSeek_v1,2022.2.5,59.989549819851696,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide8.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio8.wav,1354.9552719999992,1354.9438302500002,8,"[4.233679999997548, 17.83399759999884, 16.446889899998496, 19.086475600000995, 4.805322799998976, 5.184424899998703, 5.603338699998858, 11.565710200000467]","[0.03579829999944195, 0.06665970000176458, 0.0545127000004868, 0.06830840000111493, 0.08027059999949415, 0.21549949999825913, 0.039351700001134304, 11.56571780000013]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZX8Z3G,train_x,red_square,bottom_right,2025-06-14_16h13.25.745,HideSeek_v1,2022.2.5,59.989549819851696,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide9.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio9.wav,1366.5851105000002,1366.5867941499982,9,"[4.233679999997548, 17.83399759999884, 16.446889899998496, 19.086475600000995, 4.805322799998976, 5.184424899998703, 5.603338699998858, 11.565710200000467, 6.50517260000197]","[0.03579829999944195, 0.06665970000176458, 0.0545127000004868, 0.06830840000111493, 0.08027059999949415, 0.21549949999825913, 0.039351700001134304, 0.11658230000102776, 6.5051853000004485]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZX8Z3G,train_x,red_square,bottom_right,2025-06-14_16h13.25.745,HideSeek_v1,2022.2.5,59.989549819851696,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide10.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio10.wav,1373.1418983000003,1373.1422596399977,10,"[4.233679999997548, 17.83399759999884, 16.446889899998496, 19.086475600000995, 4.805322799998976, 5.184424899998703, 5.603338699998858, 11.565710200000467, 6.50517260000197, 7.103667499999574]","[0.03579829999944195, 0.06665970000176458, 0.0545127000004868, 0.06830840000111493, 0.08027059999949415, 0.21549949999825913, 0.039351700001134304, 0.11658230000102776, 0.0646325000016077, 7.10367590000169]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZX8Z3G,train_x,red_square,bottom_right,2025-06-14_16h13.25.745,HideSeek_v1,2022.2.5,59.989549819851696,
