beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,participant,study_id,session_id,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,start_all_time,testround,stimuli/instructions/Slide1.png,stimuli/instructions/Audio1.wav,9.074386999942362,9.023887900169939,1,[3.4086504001170397],[3.408653900027275],0,,,,,,2024-06-28_13h25.26.246,HideSeek_v1,2023.1.3,60.066445490493976,
0,0,0,0,1,0,1,0,,,stimuli/instructions/Slide2.png,stimuli/instructions/Audio2.wav,12.525821499992162,12.508865099865943,1,[0.8028693001251668],[0.802872700151056],0,,,,,,2024-06-28_13h25.26.246,HideSeek_v1,2023.1.3,60.066445490493976,
0,0,0,0,2,0,2,0,,,stimuli/instructions/Slide3.png,stimuli/instructions/Audio3.wav,13.426250299904495,13.409084539907052,1,[6.019968600012362],[6.019972400041297],0,,,,,,2024-06-28_13h25.26.246,HideSeek_v1,2023.1.3,60.066445490493976,
0,0,0,0,3,0,3,0,,,stimuli/instructions/Slide4.png,stimuli/instructions/Audio4.wav,19.5411619998049,19.5425435799174,1,[0.46741969999857247],[0.4674234001431614],0,,,,,,2024-06-28_13h25.26.246,HideSeek_v1,2023.1.3,60.066445490493976,
0,0,0,0,4,0,4,0,,,stimuli/instructions/Slide5.png,stimuli/instructions/Audio5.wav,20.0623620999977,20.05961695984006,1,[0.5121976002119482],[0.5122010000050068],0,,,,,,2024-06-28_13h25.26.246,HideSeek_v1,2023.1.3,60.066445490493976,
0,0,0,0,5,0,5,0,,,stimuli/instructions/Slide6.png,stimuli/instructions/Audio6.wav,20.6254348999355,20.625748360017315,1,[0.4651855998672545],[0.46519070002250373],0,,,,,,2024-06-28_13h25.26.246,HideSeek_v1,2023.1.3,60.066445490493976,
0,0,0,0,6,0,6,0,,,stimuli/instructions/Slide7.png,stimuli/instructions/Audio7.wav,21.14335499983281,21.126052919914944,1,[0.41730079986155033],[0.4173053000122309],0,,,,,,2024-06-28_13h25.26.246,HideSeek_v1,2023.1.3,60.066445490493976,
0,0,0,0,7,0,7,0,,,stimuli/instructions/Slide8.png,stimuli/instructions/Audio8.wav,21.627774399938062,21.62545769987628,1,[0.44689329992979765],[0.4468986999709159],0,,,,,,2024-06-28_13h25.26.246,HideSeek_v1,2023.1.3,60.066445490493976,
0,0,0,0,8,0,8,0,,,stimuli/instructions/Slide9.png,stimuli/instructions/Audio9.wav,22.142380399862304,22.12577805989422,1,[0.4102413998916745],[0.41024490003474057],0,,,,,,2024-06-28_13h25.26.246,HideSeek_v1,2023.1.3,60.066445490493976,
0,0,0,0,9,0,9,0,,,stimuli/instructions/Slide10.png,stimuli/instructions/Audio10.wav,22.60919039999135,22.592720559984446,1,[0.7441857999656349],[0.74418959999457],0,,,,,,2024-06-28_13h25.26.246,HideSeek_v1,2023.1.3,60.066445490493976,
,,,,,,,,,,stimuli/instructions/Slide11.png,stimuli/instructions/Audio11.wav,23.408892299979925,23.39225335996598,,,,,,,,,,,,,,
