trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,key_instr.duration,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,keyFB_3.duration,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,key_resp.duration,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,keyFB_2.duration,participant,study_id,session_id,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,start_all_time,testround,stimuli/instructions/Slide1.png,stimuli/instructions/Audio1.wav,9.306388000026345,9.278104750288186,1,[1.8669180999859236],[1.8669220000156201],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,stimuli/instructions/Slide2.png,stimuli/instructions/Audio2.wav,11.236098300025333,11.218118850025348,1,[0.3683916999725625],[0.3683960000053048],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,stimuli/instructions/Slide3.png,stimuli/instructions/Audio3.wav,11.7027870999882,11.684691800014116,1,[0.4065763999824412],[0.40658090001670644],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,stimuli/instructions/Slide4.png,stimuli/instructions/Audio4.wav,12.252764700038824,12.237114950048271,1,[0.15973419998772442],[0.15973959997063503],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,stimuli/instructions/Slide5.png,stimuli/instructions/Audio5.wav,12.453584800008684,12.435470750019887,1,[0.3346105000237003],[0.3346139000495896],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,stimuli/instructions/Slide6.png,stimuli/instructions/Audio6.wav,12.837695499998517,12.835480100032873,1,[0.3812713000224903],[0.38127469999017194],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,stimuli/instructions/Slide7.png,stimuli/instructions/Audio7.wav,13.270066600001883,13.252006150013768,1,[0.3176172000239603],[0.31762119999621063],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,stimuli/instructions/Slide8.png,stimuli/instructions/Audio8.wav,13.654426700028125,13.650831350008957,1,[0.2823119999957271],[0.2823169000330381],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,stimuli/instructions/Slide9.png,stimuli/instructions/Audio9.wav,14.002842399990186,13.98489230000414,1,[0.2920231000171043],[0.2920274999924004],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,stimuli/instructions/Slide10.png,stimuli/instructions/Audio10.wav,14.337252099998295,14.334614100016188,1,[0.33182429999578744],[0.33182840002700686],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
,,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,stimuli/instructions/Slide11.png,stimuli/instructions/Audio11.wav,14.735708800028078,14.71831600003643,1,[0.33535490004578605],[0.33535870001651347],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
,,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,stimuli/instructions/Slide12.png,stimuli/instructions/Audio12.wav,15.136429200007115,15.118312200030777,1,[0.41819669998949394],[0.41820080002071336],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
1,0,3,0,8,0,5,66,2,instr_dim1_1,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/66.png,conditions/inputInstr_1.xlsx,stimuli/alien_stimuli/66.png,15.63616200000979,15.63616200000979,15.63616200000979,15.63616200000979,15.617920650052838,return,1.0412997999810614,None,"[-0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32, 0.4, 0.48, 0.56]","[-0.4, -0.32, -0.24, -0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32]",8,3,0,0,0.4,0.0,16.95244319998892,16.95244319998892,16.95244319998892,16.95244319998892,16.95244319998892,16.95244319998892,16.95244319998892,16.817523400054778,0.3671893000137061,return,0.08938079996732995,None,stimuli/alien_stimuli/66.png,66,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
,,,,,,,,,,,24,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,24,0,conditions/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
,,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,stimuli/instructions/Slide13.png,stimuli/instructions/Audio13.wav,17.203834799991455,17.200721850059924,1,[2.2515857000253163],[2.251588399987668],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
,,,,,,,,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,stimuli/instructions/Slide14.png,stimuli/instructions/Audio14.wav,19.53652940003667,19.518199050042313,1,[0.3358085000072606],[0.33581259998027235],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
2,2,3,2,3,0,0,61,2,instr_dim1_1,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/61.png,conditions/inputInstr_1.xlsx,stimuli/alien_stimuli/61.png,19.95206879999023,19.95206879999023,19.95206879999023,19.95206879999023,19.93493435002165,return,0.8067923000198789,None,"[-0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32, 0.4, 0.48, 0.56]","[-0.4, -0.32, -0.24, -0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32]",3,3,2,2,0.0,0.0,20.93567570002051,20.93567570002051,20.93567570002051,20.93567570002051,20.93567570002051,20.93567570002051,20.93567570002051,20.917687150032723,0.2670122000272386,return,0.09095310000702739,None,stimuli/alien_stimuli/61.png,61,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
,,,,,,,,,,,24,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,24,0,conditions/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
,,,,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,stimuli/instructions/Slide15.png,stimuli/instructions/Audio15.wav,21.26932389999274,21.250149250018875,1,[0.8052328000194393],[0.8052368999924511],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
,,,,,,,,,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,stimuli/instructions/Slide16.png,stimuli/instructions/Audio16.wav,22.155355700000655,22.150668100023175,1,[0.8149602999910712],[0.8149661999777891],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
,2,0,2,1,0,1,62,,train_dim1_1,1,24,2,0,2,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,stimuli/alien_stimuli/62.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,23.068859599996358,23.068859599996358,23.068859599996358,23.068859599996358,23.068859599996358,up,1.1072884000022896,0,0,99,0,-0.32,up,0.9996339000063017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
,2,0,2,1,0,1,62,,train_dim1_1,1,24,2,0,2,0,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,24.2021954000229,24.2021954000229,24.2021954000229,24.2021954000229,24.2021954000229,up,1.5433648999896832,0,0,99,0,-0.24,up,1.4104078999953344,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
